team_abbrv,coach_name,start_season,end_season,games_coached,games_W,games_L,playoff_games,playoff_games_W,playoff_games_L,seasons_coach
NYK,Mike Woodson,2012,2014,188,109,79,17,7,10,6
NYK,Pat Riley,1992,1995,328,223,105,63,35,28,10
NYK,Red Holzman,1968,1982,1096,613,483,97,54,43,105
NYK,Rick Pitino,1988,1989,164,90,74,13,6,7,3
NYK,Stu Jackson,1990,1991,97,52,45,10,4,6,3
NYK,Tom Thibodeau,2020,2020,0,0,0,0,0,0,1
NYK,Willis Reed,1978,1979,96,49,47,6,2,4,3
NYN,Kevin Loughery,1977,1977,82,22,60,0,0,0,4
OKC,Billy Donovan,2016,2020,400,243,157,35,15,20,15
OKC,P.J. Carlesimo,2009,2009,13,1,12,0,0,0,2
OKC,Scott Brooks,2009,2015,545,338,207,73,39,34,28
ORL,Brian Hill,1994,2007,459,267,192,40,18,22,21
ORL,Chris Jent,2005,2005,18,5,13,0,0,0,1
ORL,Chuck Daly,1998,1999,132,74,58,4,1,3,3
ORL,Doc Rivers,2000,2004,339,171,168,15,5,10,15
ORL,Frank Vogel,2017,2018,164,54,110,0,0,0,3
ORL,Jacque Vaughn,2013,2015,216,58,158,0,0,0,6
ORL,James Borrego,2015,2015,30,10,20,0,0,0,1
ORL,Johnny Davis,2004,2005,135,51,84,0,0,0,3
ORL,Matt Guokas,1990,1993,328,111,217,0,0,0,10
ORL,Richie Adubato,1997,1997,33,21,12,5,2,3,1
ORL,Scott Skiles,2016,2016,82,35,47,0,0,0,1
ORL,Stan Van Gundy,2008,2012,394,259,135,59,31,28,15
ORL,Steve Clifford,2019,2020,155,75,80,6,2,4,3
PHI,Alex Hannum,1967,1968,163,130,33,28,18,10,9
PHI,Billy Cunningham,1978,1985,650,454,196,105,66,39,36
PHI,Brett Brown,2014,2020,565,221,344,23,12,11,28
PHI,Chris Ford,2004,2004,30,12,18,0,0,0,1
PHI,Dolph Schayes,1964,1966,240,129,111,21,9,12,6
PHI,Doug Collins,2011,2013,230,110,120,18,8,10,6
PHI,Doug Moe,1993,1993,56,19,37,0,0,0,1
PHI,Eddie Jordan,2010,2010,82,27,55,0,0,0,1
PHI,Fred Carter,1993,1994,108,32,76,0,0,0,3
PHI,Gene Shue,1974,1978,334,157,177,22,11,11,15
PHI,Jack Ramsay,1969,1972,328,174,154,17,5,12,10
PHI,Jim Lynam,1988,1992,367,194,173,21,8,13,15
PHI,Jim O'Brien,2005,2005,82,43,39,5,1,4,1
PHI,John Lucas,1995,1996,164,42,122,0,0,0,3
PHI,Johnny Davis,1997,1997,82,22,60,0,0,0,1
PHI,Kevin Loughery,1973,1973,31,5,26,0,0,0,1
PHI,Larry Brown,1998,2003,460,255,205,58,28,30,21
PHI,Matt Guokas,1986,1988,207,119,88,17,8,9,6
PHI,Maurice Cheeks,2006,2009,269,122,147,6,2,4,10
PHI,Randy Ayers,2004,2004,52,21,31,0,0,0,1
PHI,Roy Rubin,1973,1973,51,4,47,0,0,0,1
PHI,Tony DiLeo,2009,2009,59,32,27,6,2,4,1
PHO,Alvin Gentry,2009,2013,302,158,144,16,10,6,15
PHO,Butch van Breda Kolff,1973,1973,7,3,4,0,0,0,1
PHO,Cotton Fitzsimmons,1971,1997,549,341,208,44,22,22,36
PHO,Danny Ainge,1997,2000,226,136,90,12,3,9,10
PHO,Dick Van Arsdale,1987,1987,26,14,12,0,0,0,1
PHO,Earl Watson,2016,2018,118,33,85,0,0,0,6
PHO,Frank Johnson,2002,2004,134,63,71,6,2,4,6
PHO,Igor Kokoskov,2019,2019,82,19,63,0,0,0,1
PHO,Jay Triano,2018,2018,79,21,58,0,0,0,1
PHO,Jeff Hornacek,2014,2016,213,101,112,0,0,0,6
PHO,Jerry Colangelo,1970,1973,119,59,60,7,3,4,3
PHO,John MacLeod,1974,1987,1122,579,543,81,37,44,105
PHO,John Wetzel,1988,1988,82,28,54,0,0,0,1
PHO,Lindsey Hunter,2013,2013,41,12,29,0,0,0,1
PHO,Mike D'Antoni,2004,2008,389,253,136,51,26,25,15
PHO,Monty Williams,2020,2020,73,34,39,0,0,0,1
PHO,Paul Westphal,1993,1996,279,191,88,44,25,19,10
PHO,Red Kerr,1969,1970,120,31,89,0,0,0,3
PHO,Scott Skiles,2000,2002,195,116,79,13,5,8,6
PHO,Terry Porter,2009,2009,51,28,23,0,0,0,1
PHW,Frank McGuire,1962,1962,80,49,31,12,6,6,1
PHW,Neil Johnston,1960,1961,154,95,59,12,4,8,3
POR,Jack McCloskey,1973,1974,164,48,116,0,0,0,3
POR,Jack Ramsay,1977,1986,820,453,367,59,29,30,55
POR,Kaleb Canales,2012,2012,23,8,15,0,0,0,1
POR,Kevin Pritchard,2005,2005,27,5,22,0,0,0,1
